id,survey_date,stream,distance,type,species,gravel,life_stage,sex,adipose_fin,spawning_success,predation,notes,survey_year,carcass_age_hours,standard_length,width,redd_substrate,source,source_file,ec5_uuid,created_at,lat,lon,gps_accuracy,utm_northing,utm_easting,utm_zone,photo,location,activity
111117001.0,2017-11-11,Piper's Creek,0,dead,chum,-,adult,male,yes,partially spawned,no, original distance: Beach,2017,48.0,29.0,5.5,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117002.0,2017-11-11,Piper's Creek,0,remnant,,-,adult,,,,scavenged,Prob. washed out to beach original distance: Beach,2017,120.0,27.0,4.0,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117003.0,2017-11-11,Piper's Creek,50,live,chum,-,adult,female,-,,-,2 park visitors,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117004.0,2017-11-11,Piper's Creek,150,remnant,chum,-,adult,female,,,scavenged,Collected 2ft from channel,2017,96.0,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117005.0,2017-11-11,Piper's Creek,160,dead,coho,-,adult,female,no,,scavenged,,2017,,26.0,4.5,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117006.0,2017-11-11,Piper's Creek,300,dead,chum,-,adult,female,yes,,scavenged,,2017,148.0,29.0,4.5,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117007.0,2017-11-11,Piper's Creek,400,dead,coho,-,adult,male,no,unspawned,scavenged,9 park visitors,2017,48.0,19.6,4.0,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117008.0,2017-11-11,Piper's Creek,400,dead,chum,-,adult,male,yes,spawned,scavenged,,2017,72.0,23.0,4.5,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117009.0,2017-11-11,Piper's Creek,400,live,chum,-,adult,female,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117010.0,2017-11-11,Piper's Creek,400,live,chum,-,adult,female,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
111117011.0,2017-11-11,Piper's Creek,400,live,chum,-,adult,female,-,,-,,2017,,,,,scanned,salmon_2017_scanned_raw.csv,,,,,,,,,,,
